response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
18876,CES201802,1319,can,Eruit drinken,eruit drinken,drink from it,use can as drink from it,use can as drink from it,1,5
19092,CES201802,1343,can,eruit drinken,eruit drinken,drink from it,use can as drink from it,use can as drink from it,1,5
20496,CES201802,1516,can,eruit drinken,eruit drinken,drink from it,use can as drink from it,use can as drink from it,1,5
22386,CES201802,1770,can,je kan eruit drinken,eruit drinken,drink from it,use can as drink from it,use can as drink from it,1,5
19235,CES201802,1362,can,Eruit eten,eruit eten,eat out,use can as eat out,use can as eat out,1,5
18637,CES201802,1290,can,erwten,erwten,peas,use can as peas,use can as peas,1,5
22840,CES201802,1827,can,ertensoep,erwtensoep,split pea soup,use can as split pea soup,use can as split pea soup,1,5
18627,CES201802,1290,can,eten,eten,eat,use can as eat,use can as eat,1,5
19155,CES201802,1352,can,eten,eten,eat,use can as eat,use can as eat,1,5
19301,CES201802,1371,can,eten,eten,eat,use can as eat,use can as eat,1,5
19371,CES201802,1384,can,eten,eten,eat,use can as eat,use can as eat,1,5
19739,CES201802,1429,can,eten,eten,eat,use can as eat,use can as eat,1,5
19950,CES201802,1450,can,eten,eten,eat,use can as eat,use can as eat,1,5
19967,CES201802,1455,can,eten,eten,eat,use can as eat,use can as eat,1,5
21173,CES201802,1615,can,je kan er ook uit eten,eten,eat,use can as eat,use can as eat,1,5
21179,CES201802,1616,can,eten,eten,eat,use can as eat,use can as eat,1,5
21762,CES201802,1685,can,eten,eten,eat,use can as eat,use can as eat,1,5
21945,CES201802,1713,can,eten,eten,eat,use can as eat,use can as eat,1,5
22187,CES201802,1746,can,om uit te eten ,eten,eat,use can as eat,use can as eat,1,5
22640,CES201802,1803,can,eten,eten,eat,use can as eat,use can as eat,1,5
22743,CES201802,1817,can,eten in doen,eten,eat,use can as eat,use can as eat,1,5
22852,CES201802,1827,can,eten,eten,eat,use can as eat,use can as eat,1,5
23100,CES201802,1857,can,eten,eten,eat,use can as eat,use can as eat,1,5
23399,CES201802,1890,can,eten,eten,eat,use can as eat,use can as eat,1,5
20597,CES201802,1528,can,eten bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
20677,CES201802,1538,can,om eten in te bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
20690,CES201802,1539,can,om eten in te bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
21399,CES201802,1641,can,eten bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
21629,CES201802,1669,can,eten bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
21672,CES201802,1672,can,eten bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
22195,CES201802,1747,can,om eten in te bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
22425,CES201802,1773,can,eten bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
22527,CES201802,1786,can,om eten in tebewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
23345,CES201802,1886,can,eten bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
23478,CES201802,1899,can,eten bewaren,eten bewaren,store food,use can as store food,use can as store food,1,5
21437,CES201802,1646,can,om eten in te conserveren,eten conserveren,preserving food,use can as preserving food,use can as preserving food,1,5
21159,CES201802,1612,can,eten indoen,eten indoen,put food in,use can as put food in,use can as put food in,1,5
18942,CES201802,1328,can,je kan er eten in kwijt,eten kwijt,lost food,use can as lost food,use can as lost food,1,5
22399,CES201802,1771,can,om eten lang in te bewaren,eten lang bewaren,store food for long time,use can as store food for long time,use can for store food for long time,1,5
18611,CES201802,1292,can,je kan het eten mits je een sterke maag hebt,eten mits sterke maag hebt,eat if you have strong stomach,use can as eat if you have strong stomach,use can as eat if you have strong stomach,4,1
21086,CES201802,1596,can,etset,etsset,etching set,use can as etching set,use can as etching set,5,3
18992,CES201802,1333,can,etui,etui,pencil case,use can as pencil case,use can as pencil case,4,3
19633,CES201802,1416,can,etui,etui,pencil case,use can as pencil case,use can as pencil case,4,3
20246,CES201802,1486,can,experimenten,experimenten,experiments,use can as experiments,use can as experiments,3,4
20320,CES201802,1498,can,fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
20376,CES201802,1505,can,fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
20384,CES201802,1505,can,fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
22157,CES201802,1742,can,fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
22357,CES201802,1766,can,fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
22989.2,CES201802,1843,can, fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
23012,CES201802,1846,can,fajta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
23013,CES201802,1846,can,Fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
23188,CES201802,1867,can,fanta,Fanta,Fanta,use can as Fanta,use can as Fanta,1,5
22373,CES201802,1766,can,fanta zero,Fanta Zero,Fanta Zero,use can as Fanta Zero,use can as Fanta Zero,1,5
20542.1,CES201802,1523,can,als fashion statement,fashion statement,fashion statement,use can as fashion statement,use can as fashion statement,3,3
20996,CES201802,1573,can,feestje,feestje,party,use can as party,use can as party,2,5
23080,CES201802,1854,can,feestje,feestje,party,use can as party,use can as party,2,5
20992,CES201802,1573,can,fernandes,Fernandes,Fernandes,use can as Fernandes,use can as Fernandes,1,5
21085,CES201802,1595,can,fgdfg,fgdfg,fgdfg,use can as fgdfg,use can as fgdfg,0,0
21143,CES201802,1610,can,fietsensleutel ,fietsensleutel,bicycle key,use can as bicycle key,use can as bicycle key,4,2
19468,CES201802,1399,can,flesje,flesje,bottle,use can as bottle,use can as bottle,2,5
18964,CES201802,1329,can,flesjes opener,flesjes opener,bottle opener,use can as bottle opener,use can as bottle opener,2,5
19391,CES201802,1385,can,formaat,formaat,format,use can as format,use can as format,0,0
22297,CES201802,1759,can,fornuisje van maken/er dingen op koken,fornuis dingen koken,stove cooking things,use can as stove cooking things,use can as stove cooking things,3,5
19243,CES201802,1363,can,fort mee bouwen ,fort bouwen,build fort,use can as build fort,use can as build fort,3,3
21152,CES201802,1613,can,fotoblik,fotoblik,photo can,use can as photo can,use can as photo can,2,4
22291,CES201802,1758,can,frisbee,frisbee,frisbee,use can as frisbee,use can as frisbee,4,2
23497,CES201802,1902,can,frisbee,frisbee,frisbee,use can as frisbee,use can as frisbee,4,2
19082,CES201802,1342,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
19387,CES201802,1385,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
20386,CES201802,1505,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
20596,CES201802,1528,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
21465,CES201802,1644,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
21996,CES201802,1720,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
22787,CES201802,1820,can,Frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
22845,CES201802,1827,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
23077,CES201802,1854,can,frisdrank,frisdrank,Soft drink,use can as Soft drink,use can as Soft drink,1,5
21158,CES201802,1612,can,frisdrank indoen,frisdrank indoen,put in soft drinks,use can as put in soft drinks,use can as put in soft drinks,1,5
22394,CES201802,1771,can,frisdrank in opslaan,frisdrank opslaan,store soft drinks,use can as store soft drinks,use can as store soft drinks,1,5
22993,CES201802,1843,can,fruit,fruit,fruit,use can as fruit,use can as fruit,2,5
19289,CES201802,1370,can,galas,galas,galas,use can as galas,use can as galas,0,0
20852,CES201802,1560,can,een gat aan de andere kant als verrekijker,gat kant verrekijker,hole side binoculars,use can as hole side binoculars,use can as hole side binoculars,4,3
18919,CES201802,1325,can,gebouw van maken,gebouw,building,use can as building,use can as building,3,3
22443,CES201802,1776,can,gebruik de aliminium voor een beeld,gebruik aluminium beeld,use aluminum statue,use can as use aluminum statue,use can to use aluminum statue,3,3
20073,CES201802,1466,can,Gebruik ipv bakstenen,gebruik bakstenen,use bricks,use can as use bricks,use can to use bricks,3,3
18801.2,CES201802,1310,can, gebruik als pennenbakje,gebruik pennenbakje,use pen tub,use can as use pen tub,use can to use pen tub,2,5
22004,CES201802,1720,can,gehaktballetjes,gehaktballetjes,Meatballs,use can as Meatballs,use can as Meatballs,1,5
20891,CES201802,1564,can,geheime verbergplek,geheime verbergplek,secret hiding place,use can as secret hiding place,use can as secret hiding place,3,5
21631,CES201802,1669,can,gehoorapparaat met touw ertussen voor communicatie op afstand,gehoorapparaat touw ertussen communicatie afstand,hearing aid rope between them communication distance,use can as hearing aid rope between them communication distance,use can as hearing aid rope between them communication distance,2,4
20388,CES201802,1505,can,gekoeld,gekoeld,chilled,use can as chilled,use can as chilled,0,0
18733,CES201802,1303,can,geldbakje,geld bakje,money box,use can as money box,use can as money box,2,5
18973,CES201802,1329,can,geldpot,geldpot,money pot,use can as money pot,use can as money pot,2,5
19592,CES201802,1413,can,geleidend materiaal,geleidend materiaal,conductive material,use can as conductive material,use can as conductive material,3,4
18997,CES201802,1332,can,geleider,geleider,conductor,use can as conductor,use can as conductor,3,4
19015,CES201802,1334,can,geleider stroom,geleider stroom,conductor current,use can as conductor current,use can as conductor current,3,4
19162,CES201802,1352,can,geluid,geluid,sound,use can as sound,use can as sound,3,4
20393,CES201802,1504,can,geluid maken,geluid,sound,use can as sound,use can as sound,3,4
23487,CES201802,1900,can,geluid,geluid,sound,use can as sound,use can as sound,3,4
21017,CES201802,1577,can,geluid mee maken door ergens tegenaan te slaan/muziekinstrument,geluid ergens tegenaan slaan muziekinstrument,sound of hitting something musical instrument,use can as sound of hitting something musical instrument,use can as sound of hitting something musical instrument,3,4
20208,CES201802,1481,can,geluid/muziek,geluid muziek,sound music,use can as sound music,use can as sound music,3,4
21443,CES201802,1646,can,om geluid in te versterken,geluid versterken,amplify sound,use can as amplify sound,use can as amplify sound,3,5
21003,CES201802,1574,can,geluidsdingetje voor buiten in de wind,geluids dingetje buiten wind,sound thing outside wind,use can as sound thing outside wind,use can as sound thing outside wind,3,4
19820,CES201802,1436,can,geluidsapparaat,geluidsapparaat,sound device,use can as sound device,use can as sound device,3,4
20849,CES201802,1560,can,Gerecyclerde kleding maken,gerecyclede kleding,recycled clothing,use can as recycled clothing,use can as recycled clothing,3,3
20967,CES201802,1572,can,aan iemand geven,geven,give,use can as give,use can as give,2,4
21387,CES201802,1640,can,geven,geven,give,use can as give,use can as give,2,4
22259,CES201802,1754,can,geven,geven,give,use can as give,use can as give,2,4
23142,CES201802,1860,can,gewicht,gewicht,weight,use can as weight,use can as weight,3,4
23322,CES201802,1878,can,gewicht heffen,gewicht heffen,lifting weight,use can as lifting weight,use can as lifting weight,3,4
20922,CES201802,1568,can,gewicht voor servetten,gewicht servetten,weight napkins,use can as weight napkins,use can as weight napkins,3,5
20923,CES201802,1568,can,gewicht voor tafel kleed (tegen wind),gewicht tafel kleed,weight tablecloth,use can as weight tablecloth,use can as weight tablecloth,3,5
22952,CES201802,1839,can,gewichtheffen,gewichtheffen,weight lifting,use can as weight lifting,use can as weight lifting,3,4
18872,CES201802,1318,can,als gewichtje,gewichtje,weight,use can as weight,use can as weight,3,4
21427.2,CES201802,1642,can, gewichtje,gewichtje,weight,use can as weight,use can as weight,3,4
22250,CES201802,1754,can,gieten,gieten,pour,use can as pour,use can as pour,3,5
18496,CES201802,1277,can,gieter,gieter,watering can,use can as watering can,use can as watering can,3,4
19355,CES201802,1379,can,gieter,gieter,watering can,use can as watering can,use can as watering can,3,4
19489,CES201802,1400,can,gieter,gieter,watering can,use can as watering can,use can as watering can,3,4
21230,CES201802,1622,can,gieter,gieter,watering can,use can as watering can,use can as watering can,3,4
23129,CES201802,1859,can,gieter,gieter,watering can,use can as watering can,use can as watering can,3,4
22002,CES201802,1720,can,gigner ale,ginger ale,ginger ale,use can as ginger ale,use can as ginger ale,1,5
20614,CES201802,1533,can,gla,gla,gla,use can as gla,use can as gla,2,5
18983,CES201802,1333,can,glas,glas,glass,use can as glass,use can as glass,2,5
19005,CES201802,1334,can,glas,glas,glass,use can as glass,use can as glass,2,5
19290,CES201802,1370,can,glas,glas,glass,use can as glass,use can as glass,2,5
19553,CES201802,1409,can,glas,glas,glass,use can as glass,use can as glass,2,5
19577,CES201802,1411,can,glas,glas,glass,use can as glass,use can as glass,2,5
20177,CES201802,1477,can,glas,glas,glass,use can as glass,use can as glass,2,5
20560,CES201802,1525,can,glas,glas,glass,use can as glass,use can as glass,2,5
20615,CES201802,1533,can,glas,glas,glass,use can as glass,use can as glass,2,5
20631,CES201802,1532,can,glas,glas,glass,use can as glass,use can as glass,2,5
21954,CES201802,1714,can,glas,glas,glass,use can as glass,use can as glass,2,5
22892,CES201802,1832,can,als glas gebruiken,glas,glass,use can as glass,use can as glass,2,5
23025,CES201802,1846,can,glas,glas,glass,use can as glass,use can as glass,2,5
22353,CES201802,1767,can,goalpaaltjes,goalpaaltjes,goal posts,use can as goal posts,use can as goal posts,3,4
22544,CES201802,1789,can,golfbal,golfbal,golf ball,use can as golf ball,use can as golf ball,3,3
19609,CES201802,1415,can,gooi voorwerp,gooi voorwerp,throw object,use can as throw object,use can as throw object,2,4
18657,CES201802,1294,can,gooien ,gooien,throw,use can as throw,use can as throw,2,4
18761,CES201802,1307,can,gooein,gooien,throw,use can as throw,use can as throw,2,4
18888,CES201802,1321,can,ermee gooien,gooien,throw,use can as throw,use can as throw,2,4
18910,CES201802,1324,can,Gooien,gooien,throw,use can as throw,use can as throw,2,4
18918,CES201802,1325,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
18956,CES201802,1330,can,mee gooien,gooien,throw,use can as throw,use can as throw,2,4
19149,CES201802,1351,can,Om mee te gooien,gooien,throw,use can as throw,use can as throw,2,4
19169,CES201802,1353,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
19232,CES201802,1362,can,Gooien,gooien,throw,use can as throw,use can as throw,2,4
19244,CES201802,1363,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
19250,CES201802,1364,can,er mee gooien,gooien,throw,use can as throw,use can as throw,2,4
19310,CES201802,1372,can,Naar iemand gooien,gooien,throw,use can as throw,use can as throw,2,4
19494,CES201802,1401,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
19741,CES201802,1429,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
20256.1,CES201802,1489,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
20406,CES201802,1506,can,om mee te gooien,gooien,throw,use can as throw,use can as throw,2,4
20598,CES201802,1528,can,naar iemand gooien,gooien,throw,use can as throw,use can as throw,2,4
20692,CES201802,1541,can,Gooien,gooien,throw,use can as throw,use can as throw,2,4
20802,CES201802,1555,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
20887,CES201802,1564,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21007.1,CES201802,1575,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21018.1,CES201802,1577,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21066,CES201802,1592,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21300,CES201802,1630,can,kan je op iemand gooien,gooien,throw,use can as throw,use can as throw,2,4
21382,CES201802,1640,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21409,CES201802,1645,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21478,CES201802,1651,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21637,CES201802,1669,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21667,CES201802,1672,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
21727,CES201802,1681,can,gooien ,gooien,throw,use can as throw,use can as throw,2,4
21766,CES201802,1685,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
22192,CES201802,1746,can,om mee te gooien ,gooien,throw,use can as throw,use can as throw,2,4
22242,CES201802,1754,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
22389,CES201802,1770,can,je kan het naar iemand gooien,gooien,throw,use can as throw,use can as throw,2,4
22560,CES201802,1790,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
22579,CES201802,1793,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
22608,CES201802,1797,can,Gooien,gooien,throw,use can as throw,use can as throw,2,4
22676,CES201802,1807,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
22692,CES201802,1809,can,gooien ,gooien,throw,use can as throw,use can as throw,2,4
22732,CES201802,1812,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
22909,CES201802,1835,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
22946,CES201802,1840,can,om mee over te gooien,gooien,throw,use can as throw,use can as throw,2,4
23086,CES201802,1854,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
23143,CES201802,1860,can,om mee te gooien,gooien,throw,use can as throw,use can as throw,2,4
23164,CES201802,1864,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
23298,CES201802,1880,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
23349,CES201802,1886,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
23367,CES201802,1888,can,gooien,gooien,throw,use can as throw,use can as throw,2,4
23495,CES201802,1901,can,iets om mee te gooien,gooien,throw,use can as throw,use can as throw,2,4
20079,CES201802,1466,can,Gooien naar iemand/Aandacht krijgen van iemand,gooien aandacht krijgen,throw to get attention,use can as throw to get attention,use can as throw to get attention,2,4
19006,CES201802,1334,can,gooien als bal,gooien bal,throwing ball,use can as throwing ball,use can as throwing ball,2,4
21728,CES201802,1681,can,naar gooien met bal,gooien bal,throwing ball,use can as throwing ball,use can as throwing ball,2,4
22196,CES201802,1747,can,om om te kunnen gooien met een bal,gooien bal,throwing ball,use can as throwing ball,use can as throwing ball,2,4
23153,CES201802,1862,can,mee gooien als je boos bent,gooien boos bent,throw you are angry,use can as throw you are angry,use can as throw you are angry,2,4
22153,CES201802,1741,can,gooien naar een hond als ze je lastigvallen,gooien hond lastigvallen,throwing dog harass,use can as throwing dog harass,use can as throwing dog harass,2,4
22439,CES201802,1776,can,gooien naar mensen,gooien mensen,throw people,use can as throw people,use can as throw people,2,4
23402,CES201802,1890,can,gooien ter verdediging,gooien ter verdediging,throwing in defense,use can as throwing in defense,use can as throwing in defense,2,4
20734,CES201802,1546,can,gooivoorwerp,gooivoorwerp,throwing object,use can as throwing object,use can as throwing object,2,4
22994,CES201802,1843,can,groente,groente,vegetable,use can as vegetable,use can as vegetable,1,5
22844,CES201802,1827,can,groenten,groenten,vegetables,use can as vegetables,use can as vegetables,1,5
21239,CES201802,1622,can,haarroller,haar roller,hair roller,use can as hair roller,use can as hair roller,4,4
19363,CES201802,1383,can,haarband,haarband,hair band,use can as hair band,use can as hair band,4,2
20851,CES201802,1560,can,Haarkrullers,haarkrullers,hair curlers,use can as hair curlers,use can as hair curlers,4,4
22730,CES201802,1813,can,Haarlak,haarlak,hairspray,use can as hairspray,use can as hairspray,2,3
19085,CES201802,1342,can,hak,hak,heel,use can as heel,use can as heel,4,3
19359,CES201802,1383,can,hak,hak,heel,use can as heel,use can as heel,4,3
23021,CES201802,1846,can,halfvol,halfvol,half full,use can as half full,use can as half full,0,0
22745,CES201802,1817,can,halloween kostuum,Halloween kostuum,Halloween costume,use can as Halloween costume,use can as Halloween costume,3,3
19510,CES201802,1402,can,hamer,hamer,hammer,use can as hammer,use can as hammer,3,4
19567,CES201802,1411,can,hamer,hamer,hammer,use can as hammer,use can as hammer,3,4
21429,CES201802,1642,can,hamer,hamer,hammer,use can as hammer,use can as hammer,3,4
23496,CES201802,1902,can,hamer,hamer,hammer,use can as hammer,use can as hammer,3,4
18808,CES201802,1310,can,gebruiken als hamer in gevallen van nood,hamer gevallen nood,hammer in case emergency,use can as hammer in case emergency,use can as hammer in case emergency,3,4
22643,CES201802,1803,can,hamster hok,hamster hok,hamster cage,use can as hamster cage,use can as hamster cage,3,2
20989,CES201802,1571,can,je hand erin stoppen,hand erin stoppen,put your hand in it,use can as put your hand in it,use can as put your hand in it,2,3
20154,CES201802,1473,can,handbal,handbal,handball,use can as handball,use can as handball,3,3
18640,CES201802,1290,can,handig,handig,useful,use can as useful,use can as useful,0,0
19578,CES201802,1411,can,handschoen,handschoen,glove,use can as glove,use can as glove,5,2
21738,CES201802,1682,can,handvaten voor fiets,handvatten fiets,bicycle handles,use can as bicycle handles,use can as bicycle handles,4,3
20206,CES201802,1481,can,heel veel blikjes samen een vlot bouwen,heel blikjes samen vlot bouwen,build raft of cans together,use can as build raft of cans together,use can as build raft of cans together,4,4
22424,CES201802,1774,can,heel lelijk badeentje wel,heel lelijk badeendje wel,very ugly rubber duck,use can as very ugly rubber duck,use can as very ugly rubber duck,4,2
20356,CES201802,1501,can,door heen praten met een touwtje,heen praten touwtje,talking string,use can as talking string,use can as talking string,2,4
19384,CES201802,1385,can,herbruik,herbruik,reuse,use can as reuse,use can as reuse,1,5
20217,CES201802,1483,can,herbruikbaar,herbruikbaar,reusable,use can as reusable,use can as reusable,1,5
21670,CES201802,1672,can,hergebruiken,hergebruiken,reuse,use can as reuse,use can as reuse,1,5
21919,CES201802,1708,can,hergebruiken,hergebruiken,reuse,use can as reuse,use can as reuse,1,5
22485,CES201802,1783,can,hergebruiken ,hergebruiken,reuse,use can as reuse,use can as reuse,1,5
23145,CES201802,1860,can,hergebruiken als beker,hergebruiken beker,reuse cup,use can as reuse cup,use can as reuse cup,1,5
19502,CES201802,1402,can,hergebruikflesje,hergebruikflesje,reuse bottle,use can as reuse bottle,use can as reuse bottle,1,5
19016,CES201802,1334,can,herrie mee maken,herrie,noise,use can as noise,use can as noise,2,4
20215,CES201802,1483,can,hersluitbaar,hersluitbaar,resealable,use can as resealable,use can as resealable,1,5
18643,CES201802,1295,can,hobbyprojecten,hobbyprojecten,hobby projects,use can as hobby projects,use can as hobby projects,3,4
20155,CES201802,1473,can,hockeypuck,hockey puck,hockey puck,use can as hockey puck,use can as hockey puck,3,4
20726,CES201802,1543,can,hockey puck ,hockey puck,hockey puck,use can as hockey puck,use can as hockey puck,3,4
22044,CES201802,1726,can,als hockey puck gebruiken,hockey puck,hockey puck,use can as hockey puck,use can as hockey puck,3,4
21914,CES201802,1708,can,hockey puk,hockey puk,hockey puck,use can as hockey puck,use can as hockey puck,3,4
21432,CES201802,1642,can,hockeybal,hockeybal,hockey ball,use can as hockey ball,use can as hockey ball,3,3
19305,CES201802,1371,can,hockeyen,hockeyen,play hockey,use can as play hockey,use can as play hockey,3,3
20978,CES201802,1571,can,hockeyen,hockeyen,play hockey,use can as play hockey,use can as play hockey,3,3
18523,CES201802,1280,can,hoed,hoed,hat,use can as hat,use can as hat,4,2
19579,CES201802,1411,can,hoed,hoed,hat,use can as hat,use can as hat,4,2
19963,CES201802,1453,can,hoed,hoed,hat,use can as hat,use can as hat,4,2
21233,CES201802,1622,can,gebruiken als hoed,hoed,hat,use can as hat,use can as hat,4,2
22189,CES201802,1746,can,hoed ,hoed,hat,use can as hat,use can as hat,4,2
18600,CES201802,1292,can,je kan er een hoedje van maken,hoedje,hat,use can as hat,use can as hat,4,2
19827,CES201802,1436,can,hoedje,hoedje,hat,use can as hat,use can as hat,4,2
20345,CES201802,1500,can,hoedje,hoedje,hat,use can as hat,use can as hat,4,2
22176,CES201802,1744,can,hoedje,hoedje,hat,use can as hat,use can as hat,4,2
22568,CES201802,1791,can,hoedje,hoedje,hat,use can as hat,use can as hat,4,2
22992,CES201802,1843,can,hoedje,hoedje,hat,use can as hat,use can as hat,4,2
22387,CES201802,1770,can,je kan er met een hond mee spelen,hond spelen,playing dog,use can as playing dog,use can as playing dog,3,5
18883,CES201802,1320,can,om hond mee te straffen (schrikt van het geluid en corrigeert hem daardoor),hond straffen,punish dog,use can as punish dog,use can as punish dog,3,5
22172,CES201802,1744,can,honkbal,honkbal,baseball,use can as baseball,use can as baseball,3,3
23029,CES201802,1848,can,honkballen,honkballen,play baseball,use can as play baseball,use can as play baseball,3,3
18966,CES201802,1329,can,hoofddesksel,hoofddeksel,headgear,use can as headgear,use can as headgear,4,2
20291,CES201802,1491,can,hoofddeksel,hoofddeksel,headgear,use can as headgear,use can as headgear,4,2
22056,CES201802,1728,can,als hoofddeksel dragen,hoofddeksel dragen,wear headgear,use can as wear headgear,use can as wear headgear,4,2
23320,CES201802,1878,can,hoofdkussen,hoofdkussen,pillow,use can as pillow,use can as pillow,4,2
20949,CES201802,1570,can,er mee hooghouden,hooghouden,uphold,use can as uphold,use can as uphold,3,4
23165,CES201802,1864,can,hooghouden,hooghouden,uphold,use can as uphold,use can as uphold,3,4
18630,CES201802,1290,can,houdbaar,houdbaar,shelf life,use can as shelf life,use can as shelf life,1,5
18520,CES201802,1280,can,houder,houder,holder,use can as holder,use can as holder,2,5
18752,CES201802,1305,can,houder,houder,holder,use can as holder,use can as holder,2,5
18993,CES201802,1332,can,houder,houder,holder,use can as holder,use can as holder,2,5
19163,CES201802,1353,can,houder  ,houder,holder,use can as holder,use can as holder,2,5
19406,CES201802,1389,can,houder,houder,holder,use can as holder,use can as holder,2,5
19684,CES201802,1420,can,houder,houder,holder,use can as holder,use can as holder,2,5
19746,CES201802,1429,can,houder,houder,holder,use can as holder,use can as holder,2,5
20634,CES201802,1532,can,houder,houder,holder,use can as holder,use can as holder,2,5
22835,CES201802,1826,can,houder,houder,holder,use can as holder,use can as holder,2,5
21092,CES201802,1605,can,houder van frisdranken,houder frisdranken,soft drinks holder,use can as soft drinks holder,use can as soft drinks holder,2,5
19117,CES201802,1345,can,houder voor makeupkwasten,houder make up kwasten,holder make up brushes,use can as holder make up brushes,use can to holder make up brushes,2,5
19116,CES201802,1345,can,houder voor pennen,houder pennen,holder pens,use can as holder pens,use can as holder pens,2,5
18726,CES201802,1303,can,houder voor voorwerpen,houder voorwerpen,holder objects,use can as holder objects,use can as holder objects,2,5
21007.2,CES201802,1575,can, huis bouwen,huis bouwen,build house,use can as build house,use can as build house,3,3
21008,CES201802,1575,can,huis bouwen,huis bouwen,build house,use can as build house,use can as build house,3,3
22342,CES201802,1767,can,huis bouwen,huis bouwen,build house,use can as build house,use can as build house,3,3
20627,CES201802,1529,can,huis bouwen van blikjes,huis bouwen blikjes,house building cans,use can as house building cans,use can as house building cans,3,3
22401,CES201802,1771,can,huisdecoraties van maken,huisdecoraties,home decorations,use can as home decorations,use can as home decorations,3,3
19508,CES201802,1402,can,huisdier,huisdier,pet,use can as pet,use can as pet,5,1
21367,CES201802,1637,can,om een huisje mee te maken,huisje,cottage,use can as cottage,use can as cottage,3,3
22665,CES201802,1805,can,husje,huisje,cottage,use can as cottage,use can as cottage,3,3
22784,CES201802,1820,can,Huizen,huizen,houses,use can as houses,use can as houses,3,3
22147,CES201802,1741,can,hut mee bouwen,hut bouwen,build hut,use can as build hut,use can as build hut,3,3
20330,CES201802,1498,can,ice tea,ice tea,ice tea,use can as ice tea,use can as ice tea,1,5
20385,CES201802,1505,can,ice tea,ice tea,ice tea,use can as ice tea,use can as ice tea,1,5
22370,CES201802,1766,can,ice tea,ice tea,ice tea,use can as ice tea,use can as ice tea,1,5
20331,CES201802,1498,can,ice tea green,ice tea green,ice tea green,use can as ice tea green,use can as ice tea green,1,5
21112,CES201802,1607,can,icepack,icepack,icepack,use can as icepack,use can as icepack,4,4
23123,CES201802,1859,can,ijshockeypuck,ijshockey puck,ice hockey puck,use can as ice hockey puck,use can as ice hockey puck,3,4
18642,CES201802,1295,can,ijzer,ijzer,iron,use can as iron,use can as iron,1,5
